time,U_R1,U_R2,U_Rb1,U_Rb2,U_Id1,I_E1,I_E2,I_L1,I_Cb1,I_C1,I_R1,I_R2,I_Rb1,I _Rb2, I_Id1, U_E1, U_E2, U_L1, U_Cb1, U_C1 
5.24288e-06,0.131213,0.028321,0.237344,0.603122,0.603122,-0.0118672,-0.011736,0.011736,1.56457e-08,0.0118389,0.000131213,2.8321e-05,0.0118672,6.03122e-07,0.0118666,1,3.39035,3.52156,0.603122,0.028321
5.50502e-06,0.10723,0.0316683,0.256012,0.60509,0.60509,-0.0128006,-0.0126934,0.0126934,1.50194e-08,0.0127689,0.00010723,3.16683e-05,0.0128006,6.0509e-07,0.0128,1,3.54484,3.65207,0.60509,0.0316683
5.76717e-06,0.082412,0.035268,0.275337,0.606983,0.606983,-0.0137669,-0.0136845,0.0136845,1.44365e-08,0.0137316,8.2412e-05,3.5268e-05,0.0137669,6.06983e-07,0.0137662,1,3.69836,3.78078,0.606983,0.035268
6.02931e-06,0.0567564,0.0391284,0.295312,0.608804,0.608804,-0.0147656,-0.0147088,0.0147088,1.38928e-08,0.0147265,5.67564e-05,3.91284e-05,0.0147656,6.08804e-07,0.014765,1,3.85089,3.90764,0.608804,0.0391284
6.29146e-06,0.0302599,0.043258,0.315924,0.610558,0.610558,-0.0157962,-0.015766,0.015766,1.33844e-08,0.015753,3.02599e-05,4.3258e-05,0.0157962,6.10558e-07,0.0157956,1,4.00236,4.03262,0.610558,0.043258
6.5536e-06,0.00292028,0.0476648,0.337165,0.61225,0.61225,-0.0168583,-0.0168553,0.0168553,1.29081e-08,0.0168106,2.92028e-06,4.76648e-05,0.0168583,6.1225e-07,0.0168576,1,4.15276,4.15568,0.61225,0.0476648
6.81574e-06,-0.0252639,0.0523568,0.359024,0.613883,0.613883,-0.0179512,-0.0179765,0.0179765,1.2461e-08,0.0178988,-2.52639e-05,5.23568e-05,0.0179512,6.13883e-07,0.0179506,1,4.30202,4.27676,0.613883,0.0523568
7.07789e-06,-0.0542935,0.0573421,0.38149,0.615461,0.615461,-0.0190745,-0.0191288,0.0191288,1.20403e-08,0.0190172,-5.42935e-05,5.73421e-05,0.0190745,6.15461e-07,0.0190739,1,4.45012,4.39583,0.615461,0.0573421
7.34003e-06,-0.0841686,0.0626282,0.404553,0.616987,0.616987,-0.0202277,-0.0203118,0.0203118,1.16439e-08,0.020165,-8.41686e-05,6.26282e-05,0.0202277,6.16987e-07,0.020227,1,4.59701,4.51284,0.616987,0.0626282
7.60218e-06,-0.114889,0.0682228,0.428201,0.618465,0.618465,-0.0214101,-0.021525,0.021525,1.12696e-08,0.0213418,-0.000114889,6.82228e-05,0.0214101,6.18465e-07,0.0214094,1,4.74266,4.62777,0.618465,0.0682228
7.86432e-06,-0.146453,0.0741334,0.452424,0.619895,0.619895,-0.0226212,-0.0227677,0.0227677,1.09157e-08,0.0225471,-0.000146453,7.41334e-05,0.0226212,6.19895e-07,0.0226206,1,4.88701,4.74056,0.619895,0.0741334
8.12646e-06,-0.17886,0.0803673,0.47721,0.621282,0.621282,-0.0238605,-0.0240394,0.0240394,1.05804e-08,0.0237802,-0.00017886,8.03673e-05,0.0238605,6.21282e-07,0.0238599,1,5.03005,4.85119,0.621282,0.0803673
8.38861e-06,-0.212107,0.0869315,0.502548,0.622627,0.622627,-0.0251274,-0.0253395,0.0253395,1.02624e-08,0.0250405,-0.000212107,8.69315e-05,0.0251274,6.22627e-07,0.0251268,1,5.17171,4.95961,0.622627,0.0869315
8.65075e-06,-0.246191,0.093833,0.528426,0.623933,0.623933,-0.0264213,-0.0266675,0.0266675,9.96028e-09,0.0263275,-0.000246191,9.3833e-05,0.0264213,6.23933e-07,0.0264207,1,5.31198,5.06579,0.623933,0.093833
8.9129e-06,-0.281111,0.101079,0.554831,0.625201,0.625201,-0.0277416,-0.0280227,0.0280227,9.67287e-09,0.0276405,-0.000281111,0.000101079,0.0277416,6.25201e-07,0.0277409,1,5.4508,5.16969,0.625201,0.101079
9.17504e-06,-0.316861,0.108676,0.581753,0.626433,0.626433,-0.0290877,-0.0294045,0.0294045,9.39907e-09,0.028979,-0.000316861,0.000108676,0.0290877,6.26433e-07,0.029087,1,5.58815,5.27129,0.626433,0.108676
9.43718e-06,-0.353438,0.11663,0.609179,0.62763,0.62763,-0.0304589,-0.0308124,0.0308124,9.13792e-09,0.0303423,-0.000353438,0.00011663,0.0304589,6.2763e-07,0.0304583,1,5.72398,5.37054,0.62763,0.11663
